"filename", "language", "Dart", "comment", "blank", "total"
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/app.dart", "Dart", 68, 1, 3, 72
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/app_const/app_colors.dart", "Dart", 19, 0, 2, 21
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/app_const/app_exports.dart", "Dart", 113, 0, 2, 115
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/app_const/app_icons.dart", "Dart", 26, 0, 3, 29
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/app_const/app_page_animation.dart", "Dart", 16, 0, 2, 18
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/app_const/app_pages.dart", "Dart", 59, 5, 4, 68
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/app_const/app_routes.dart", "Dart", 18, 0, 1, 19
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/accept_online/data/models/user_unverified_model.dart", "Dart", 53, 3, 12, 68
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/accept_online/presentation/blocs/blocs/accept_online_bloc.dart", "Dart", 25, 2, 7, 34
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/accept_online/presentation/blocs/blocs/accept_online_event.dart", "Dart", 10, 0, 5, 15
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/accept_online/presentation/blocs/blocs/accept_online_state.dart", "Dart", 8, 13, 6, 27
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/accept_online/presentation/pages/admin_accept_online.dart", "Dart", 86, 3, 5, 94
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/accept_online/presentation/widgets/accept_widget.dart", "Dart", 105, 0, 3, 108
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/accept_online/repository/accept_online_repo.dart", "Dart", 79, 0, 6, 85
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/auth_feature/data/models/user_model.dart", "Dart", 72, 3, 16, 91
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/auth_feature/presentation/blocs/auth_bloc.dart", "Dart", 52, 6, 10, 68
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/auth_feature/presentation/blocs/auth_event.dart", "Dart", 14, 0, 10, 24
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/auth_feature/presentation/blocs/auth_state.dart", "Dart", 32, 1, 6, 39
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/auth_feature/presentation/pages/auth_page.dart", "Dart", 153, 20, 8, 181
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/auth_feature/repository/auth_repo.dart", "Dart", 45, 0, 4, 49
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/data/data_src/hive_local_data_src.dart", "Dart", 22, 9, 6, 37
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/data/data_src/local_data_src.dart", "Dart", 124, 17, 29, 170
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/data/models/search_customer/search_customer.dart", "Dart", 112, 0, 11, 123
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/data/models/seller_model/sellers_model.dart", "Dart", 25, 3, 9, 37
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/data/models/selling/empty_selling.dart", "Dart", 51, 3, 8, 62
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/data/models/selling/not_sold_selling.dart", "Dart", 59, 3, 8, 70
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/data/models/selling/sold_selling.dart", "Dart", 63, 3, 8, 74
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/data/models/usermodel/hive_usermodel.dart", "Dart", 11, 0, 2, 13
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/data/models/usermodel/hive_usermodel.g.dart", "Dart", 35, 4, 8, 47
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/presentation/blocs/main_feature_bloc.dart", "Dart", 12, 0, 3, 15
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/presentation/blocs/main_feature_event.dart", "Dart", 10, 0, 11, 21
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/presentation/blocs/main_feature_state.dart", "Dart", 21, 1, 4, 26
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/presentation/pages/main_page.dart", "Dart", 103, 0, 8, 111
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/profile/data/models/user_online_model.dart", "Dart", 34, 3, 8, 45
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/profile/data/models/user_profile_model.dart", "Dart", 54, 3, 13, 70
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/profile/presentation/blocs/profile_bloc.dart", "Dart", 41, 11, 11, 63
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/profile/presentation/blocs/profile_event.dart", "Dart", 12, 0, 7, 19
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/profile/presentation/blocs/profile_state.dart", "Dart", 29, 0, 3, 32
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/profile/presentation/pages/profile_page.dart", "Dart", 146, 2, 9, 157
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/profile/presentation/widgets/online_tile.dart", "Dart", 38, 1, 4, 43
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/profile/presentation/widgets/profile_tile.dart", "Dart", 32, 1, 3, 36
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/profile/repository/profile_repo.dart", "Dart", 84, 0, 6, 90
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/data/ack_data_model.dart", "Dart", 23, 3, 9, 35
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/data/client_info_model.dart", "Dart", 49, 6, 17, 72
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/data/hive_client_model.dart/hive_client_model.dart", "Dart", 15, 0, 3, 18
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/data/hive_client_model.dart/hive_client_model.g.dart", "Dart", 41, 4, 8, 53
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/data/local_datasrc/hive_local.dart", "Dart", 26, 9, 6, 41
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/data/selling_data/furniture_model_type_model.dart", "Dart", 89, 3, 12, 104
